timestamp_utc,temperature_c,pressure_hpa,humidity_percent
2025-12-22T08:24:12+00:00,17.47,1004.75,60.99
2025-12-22T08:24:27+00:00,17.43,1004.71,61.34
2025-12-22T08:24:42+00:00,17.35,1004.75,61.45
2025-12-22T08:24:57+00:00,17.28,1004.66,61.60
2025-12-22T08:25:12+00:00,17.24,1004.70,61.47
2025-12-22T08:25:27+00:00,17.18,1004.69,61.48
2025-12-22T08:25:42+00:00,17.13,1004.67,61.37
2025-12-22T08:25:57+00:00,17.08,1004.67,61.08
2025-12-22T08:26:12+00:00,17.01,1004.70,60.92
2025-12-22T08:26:27+00:00,16.95,1004.73,60.89
2025-12-22T08:26:42+00:00,16.88,1004.76,60.77
2025-12-22T08:26:57+00:00,16.81,1004.69,60.67
2025-12-22T08:27:12+00:00,16.74,1004.69,60.47
2025-12-22T08:27:27+00:00,16.66,1004.69,60.43
2025-12-22T08:27:42+00:00,16.61,1004.69,60.59
2025-12-22T08:27:57+00:00,16.54,1004.69,60.78
2025-12-22T08:28:12+00:00,16.49,1004.72,60.99
2025-12-22T08:28:27+00:00,16.43,1004.73,60.98
2025-12-22T08:28:42+00:00,16.37,1004.71,61.10
2025-12-22T08:28:57+00:00,16.32,1004.63,60.99
2025-12-22T08:29:12+00:00,16.27,1004.68,60.96
2025-12-22T08:29:27+00:00,16.23,1004.72,61.10
2025-12-22T08:29:42+00:00,16.18,1004.73,61.05
2025-12-22T08:29:57+00:00,16.14,1004.74,61.10
2025-12-22T08:30:12+00:00,16.08,1004.73,61.41
2025-12-22T08:30:27+00:00,16.05,1004.70,61.38
2025-12-22T08:30:42+00:00,16.01,1004.73,61.32
2025-12-22T08:30:57+00:00,15.98,1004.73,61.41
2025-12-22T08:31:12+00:00,15.94,1004.77,61.70
2025-12-22T08:31:27+00:00,15.92,1004.68,61.85
2025-12-22T08:31:42+00:00,15.88,1004.75,62.11
2025-12-22T08:31:57+00:00,15.86,1004.69,62.38
2025-12-22T08:32:12+00:00,15.83,1004.73,62.50
2025-12-22T08:32:27+00:00,15.82,1004.73,62.49
2025-12-22T08:32:42+00:00,15.80,1004.76,62.58
2025-12-22T08:32:57+00:00,15.79,1004.77,62.76
2025-12-22T08:33:12+00:00,15.78,1004.78,63.02
2025-12-22T08:33:27+00:00,15.75,1004.71,63.23
2025-12-22T08:33:42+00:00,15.73,1004.70,63.39
2025-12-22T08:33:57+00:00,15.73,1004.73,63.58
2025-12-22T08:34:12+00:00,15.72,1004.72,63.72
