timestamp_utc,temperature_c,pressure_hpa,humidity_percent
2025-12-24T11:33:42+00:00,13.86,999.41,79.14
2025-12-24T11:33:57+00:00,13.77,999.35,79.00
2025-12-24T11:34:12+00:00,13.65,999.39,78.80
2025-12-24T11:34:27+00:00,13.48,999.38,78.61
2025-12-24T11:34:42+00:00,13.32,999.43,78.64
2025-12-24T11:34:57+00:00,13.16,999.45,78.82
2025-12-24T11:35:12+00:00,12.99,999.47,79.20
2025-12-24T11:35:27+00:00,12.80,999.45,79.66
2025-12-24T11:35:42+00:00,12.64,999.44,80.06
2025-12-24T11:35:57+00:00,12.45,999.46,80.65
2025-12-24T11:36:12+00:00,12.30,999.45,80.96
2025-12-24T11:36:27+00:00,12.14,999.49,81.20
2025-12-24T11:36:42+00:00,12.01,999.52,81.46
2025-12-24T11:36:57+00:00,11.87,999.43,81.88
2025-12-24T11:37:12+00:00,11.76,999.45,82.13
2025-12-24T11:37:27+00:00,11.64,999.38,82.61
2025-12-24T11:37:42+00:00,11.56,999.50,82.90
2025-12-24T11:37:57+00:00,11.47,999.42,83.22
2025-12-24T11:38:12+00:00,11.39,999.45,83.55
2025-12-24T11:38:27+00:00,11.33,999.46,84.00
2025-12-24T11:38:42+00:00,11.28,999.51,84.42
2025-12-24T11:38:57+00:00,11.24,999.49,84.61
2025-12-24T11:39:12+00:00,11.21,999.55,84.89
2025-12-24T11:39:27+00:00,11.16,999.49,85.26
2025-12-24T11:39:42+00:00,11.11,999.44,85.48
2025-12-24T11:39:57+00:00,11.07,999.53,85.62
2025-12-24T11:40:12+00:00,11.02,999.42,85.92
2025-12-24T11:40:27+00:00,10.96,999.44,86.32
2025-12-24T11:40:42+00:00,10.95,999.44,86.32
2025-12-24T11:40:57+00:00,10.89,999.48,86.71
2025-12-24T11:41:12+00:00,10.87,999.51,86.74
2025-12-24T11:41:27+00:00,10.87,999.39,86.87
2025-12-24T11:41:42+00:00,10.87,999.37,86.96
2025-12-24T11:41:57+00:00,10.88,999.44,87.13
2025-12-24T11:42:12+00:00,10.90,999.41,87.25
2025-12-24T11:42:27+00:00,10.93,999.42,87.38
2025-12-24T11:42:42+00:00,10.96,999.38,87.34
2025-12-24T11:42:57+00:00,10.99,999.38,87.43
2025-12-24T11:43:12+00:00,11.01,999.33,87.46
2025-12-24T11:43:27+00:00,11.03,999.39,87.50
2025-12-24T11:43:42+00:00,11.04,999.33,87.62
2025-12-24T11:43:57+00:00,11.04,999.44,87.67
2025-12-24T11:44:12+00:00,11.06,999.43,87.82
2025-12-24T11:44:27+00:00,11.07,999.42,87.86
2025-12-24T11:44:42+00:00,11.07,999.37,87.93
2025-12-24T11:44:57+00:00,11.06,999.38,87.99
2025-12-24T11:45:12+00:00,11.06,999.44,88.02
2025-12-24T11:45:27+00:00,11.06,999.44,88.10
2025-12-24T11:45:42+00:00,11.04,999.33,88.20
2025-12-24T11:45:57+00:00,11.02,999.35,88.26
2025-12-24T11:46:12+00:00,11.02,999.40,88.40
2025-12-24T11:46:27+00:00,10.99,999.35,88.49
2025-12-24T11:46:42+00:00,10.99,999.40,88.48
2025-12-24T11:46:57+00:00,10.98,999.36,88.57
2025-12-24T11:47:12+00:00,10.98,999.30,88.60
2025-12-24T11:47:27+00:00,10.98,999.33,88.66
2025-12-24T11:47:42+00:00,10.98,999.39,88.73
2025-12-24T11:47:57+00:00,10.97,999.32,88.85
2025-12-24T11:48:12+00:00,10.98,999.26,88.84
2025-12-24T11:48:27+00:00,10.98,999.36,88.90
2025-12-24T11:48:42+00:00,10.99,999.38,88.94
2025-12-24T11:48:57+00:00,10.99,999.35,88.93
2025-12-24T11:49:12+00:00,11.00,999.32,88.98
2025-12-24T11:49:27+00:00,11.01,999.31,88.97
2025-12-24T11:49:42+00:00,11.01,999.28,88.95
2025-12-24T11:49:57+00:00,11.03,999.28,88.83
2025-12-24T11:50:12+00:00,11.05,999.34,88.92
2025-12-24T11:50:27+00:00,11.06,999.28,88.85
2025-12-24T11:50:42+00:00,11.09,999.27,88.89
2025-12-24T11:50:57+00:00,11.14,999.28,88.87
2025-12-24T11:51:12+00:00,11.18,999.26,88.83
2025-12-24T11:51:27+00:00,11.23,999.26,88.77
2025-12-24T11:51:42+00:00,11.30,999.36,88.56
2025-12-24T11:51:57+00:00,11.35,999.20,88.50
2025-12-24T11:52:12+00:00,11.40,999.32,88.51
2025-12-24T11:52:27+00:00,11.46,999.20,88.44
2025-12-24T11:52:42+00:00,11.52,999.16,88.50
2025-12-24T11:52:57+00:00,11.60,999.26,88.55
2025-12-24T11:53:12+00:00,11.67,999.18,88.48
2025-12-24T11:53:27+00:00,11.73,999.29,88.50
2025-12-24T11:53:42+00:00,11.79,999.31,88.45
2025-12-24T11:53:57+00:00,11.84,999.22,88.39
2025-12-24T11:54:12+00:00,11.90,999.30,88.27
2025-12-24T11:54:27+00:00,11.94,999.30,88.18
2025-12-24T11:54:42+00:00,11.97,999.21,88.04
2025-12-24T11:54:57+00:00,12.00,999.15,87.93
2025-12-24T11:55:12+00:00,12.01,999.22,87.86
2025-12-24T11:55:27+00:00,12.04,999.18,87.86
2025-12-24T11:55:42+00:00,12.02,999.16,87.55
2025-12-24T11:55:57+00:00,12.02,999.16,87.53
2025-12-24T11:56:12+00:00,11.99,999.16,87.44
2025-12-24T11:56:27+00:00,11.96,999.22,87.37
2025-12-24T11:56:42+00:00,11.91,999.20,87.38
2025-12-24T11:56:57+00:00,11.88,999.15,87.52
2025-12-24T11:57:12+00:00,11.86,999.14,87.64
2025-12-24T11:57:27+00:00,11.84,999.19,87.79
2025-12-24T11:57:42+00:00,11.82,999.19,87.88
2025-12-24T11:57:57+00:00,11.81,999.22,88.03
2025-12-24T11:58:12+00:00,11.77,999.22,88.10
2025-12-24T11:58:27+00:00,11.74,999.22,88.13
2025-12-24T11:58:42+00:00,11.69,999.25,88.20
2025-12-24T11:58:57+00:00,11.65,999.17,88.24
2025-12-24T11:59:12+00:00,11.60,999.16,88.36
2025-12-24T11:59:27+00:00,11.59,999.13,88.51
2025-12-24T11:59:42+00:00,11.56,999.12,88.69
2025-12-24T11:59:57+00:00,11.50,999.10,88.76
2025-12-24T12:00:12+00:00,11.48,999.09,88.81
2025-12-24T12:00:27+00:00,11.45,999.12,88.93
2025-12-24T12:00:42+00:00,11.42,999.12,89.07
2025-12-24T12:00:57+00:00,11.37,999.16,89.30
2025-12-24T12:01:12+00:00,11.31,999.16,89.47
2025-12-24T12:01:27+00:00,11.26,999.09,89.52
2025-12-24T12:01:42+00:00,11.21,999.15,89.57
2025-12-24T12:01:57+00:00,11.18,999.20,89.70
2025-12-24T12:02:12+00:00,11.13,999.18,89.91
2025-12-24T12:02:27+00:00,11.08,999.18,90.17
2025-12-24T12:02:42+00:00,11.04,999.22,90.17
2025-12-24T12:02:57+00:00,11.00,999.20,90.31
2025-12-24T12:03:12+00:00,10.96,999.17,90.49
2025-12-24T12:03:27+00:00,10.91,999.17,90.61
2025-12-24T12:03:42+00:00,10.87,999.18,90.74
2025-12-24T12:03:57+00:00,10.81,999.18,90.86
2025-12-24T12:04:12+00:00,10.76,999.19,90.84
2025-12-24T12:04:27+00:00,10.71,999.27,91.02
2025-12-24T12:04:42+00:00,10.68,999.28,91.07
2025-12-24T12:04:57+00:00,10.64,999.32,91.32
2025-12-24T12:05:12+00:00,10.60,999.30,91.53
2025-12-24T12:05:27+00:00,10.57,999.41,91.79
2025-12-24T12:05:42+00:00,10.53,999.39,91.99
2025-12-24T12:05:57+00:00,10.52,999.39,92.07
2025-12-24T12:06:12+00:00,10.49,999.46,92.19
2025-12-24T12:06:27+00:00,10.47,999.45,92.12
2025-12-24T12:06:42+00:00,10.45,999.45,92.22
2025-12-24T12:06:57+00:00,10.44,999.40,92.25
2025-12-24T12:07:12+00:00,10.41,999.32,92.36
2025-12-24T12:07:27+00:00,10.38,999.27,92.40
2025-12-24T12:07:42+00:00,10.37,999.25,92.54
2025-12-24T12:07:57+00:00,10.36,999.32,92.55
2025-12-24T12:08:12+00:00,10.34,999.20,92.64
2025-12-24T12:08:27+00:00,10.35,999.25,92.75
2025-12-24T12:08:42+00:00,10.34,999.26,92.89
2025-12-24T12:08:57+00:00,10.35,999.30,92.99
2025-12-24T12:09:12+00:00,10.33,999.30,93.18
2025-12-24T12:09:27+00:00,10.33,999.25,93.26
2025-12-24T12:09:42+00:00,10.32,999.23,93.26
2025-12-24T12:09:57+00:00,10.31,999.16,93.37
2025-12-24T12:10:12+00:00,10.30,999.19,93.40
2025-12-24T12:10:27+00:00,10.28,999.11,93.49
2025-12-24T12:10:42+00:00,10.26,999.15,93.50
2025-12-24T12:10:57+00:00,10.25,999.22,93.52
2025-12-24T12:11:12+00:00,10.24,999.23,93.57
2025-12-24T12:11:27+00:00,10.22,999.23,93.59
2025-12-24T12:11:42+00:00,10.22,999.18,93.69
2025-12-24T12:11:57+00:00,10.22,999.23,93.71
2025-12-24T12:12:12+00:00,10.22,999.25,93.80
2025-12-24T12:12:27+00:00,10.23,999.19,93.81
2025-12-24T12:12:42+00:00,10.24,999.26,93.92
2025-12-24T12:12:57+00:00,10.24,999.26,94.12
2025-12-24T12:13:12+00:00,10.25,999.27,94.09
2025-12-24T12:13:27+00:00,10.26,999.24,94.04
