timestamp_utc,temperature_c,pressure_hpa,humidity_percent
2025-12-23T15:30:57+00:00,15.65,999.56,73.19
2025-12-23T15:31:12+00:00,15.71,999.54,73.20
2025-12-23T15:31:27+00:00,15.65,999.44,73.02
2025-12-23T15:31:42+00:00,15.53,999.50,72.98
2025-12-23T15:31:57+00:00,15.38,999.46,73.21
2025-12-23T15:32:12+00:00,15.23,999.42,73.77
2025-12-23T15:32:27+00:00,15.07,999.47,74.32
2025-12-23T15:32:42+00:00,14.90,999.51,74.56
2025-12-23T15:32:57+00:00,14.72,999.48,74.71
2025-12-23T15:33:12+00:00,14.56,999.41,74.93
2025-12-23T15:33:27+00:00,14.38,999.47,75.38
2025-12-23T15:33:42+00:00,14.21,999.45,75.79
2025-12-23T15:33:57+00:00,14.04,999.47,76.14
2025-12-23T15:34:12+00:00,13.88,999.45,76.52
2025-12-23T15:34:27+00:00,13.73,999.42,76.95
2025-12-23T15:34:42+00:00,13.58,999.51,77.26
2025-12-23T15:34:57+00:00,13.42,999.41,77.72
2025-12-23T15:35:12+00:00,13.26,999.48,78.12
2025-12-23T15:35:27+00:00,13.13,999.47,78.16
2025-12-23T15:35:42+00:00,12.98,999.48,78.40
2025-12-23T15:35:57+00:00,12.84,999.54,79.03
2025-12-23T15:36:12+00:00,12.70,999.56,79.53
2025-12-23T15:36:27+00:00,12.59,999.47,79.77
2025-12-23T15:36:42+00:00,12.47,999.49,80.27
2025-12-23T15:36:57+00:00,12.37,999.51,80.61
2025-12-23T15:37:12+00:00,12.27,999.48,80.96
2025-12-23T15:37:27+00:00,12.17,999.51,81.40
2025-12-23T15:37:42+00:00,12.06,999.58,81.44
2025-12-23T15:37:57+00:00,11.97,999.49,81.78
2025-12-23T15:38:12+00:00,11.88,999.50,82.17
2025-12-23T15:38:27+00:00,11.82,999.48,82.50
2025-12-23T15:38:42+00:00,11.73,999.42,82.85
2025-12-23T15:38:57+00:00,11.65,999.45,83.22
2025-12-23T15:39:12+00:00,11.59,999.40,83.39
2025-12-23T15:39:27+00:00,11.52,999.45,83.69
2025-12-23T15:39:42+00:00,11.47,999.40,84.12
2025-12-23T15:39:57+00:00,11.41,999.49,84.17
2025-12-23T15:40:12+00:00,11.36,999.43,84.39
2025-12-23T15:40:27+00:00,11.31,999.43,84.75
2025-12-23T15:40:42+00:00,11.26,999.47,84.97
2025-12-23T15:40:57+00:00,11.20,999.43,85.20
2025-12-23T15:41:12+00:00,11.16,999.46,85.31
2025-12-23T15:41:27+00:00,11.12,999.51,85.37
2025-12-23T15:41:42+00:00,11.09,999.46,85.58
2025-12-23T15:41:57+00:00,11.06,999.52,85.79
2025-12-23T15:42:12+00:00,11.03,999.49,85.82
2025-12-23T15:42:27+00:00,10.99,999.46,86.14
2025-12-23T15:42:42+00:00,10.96,999.41,86.21
2025-12-23T15:42:57+00:00,10.93,999.41,86.46
2025-12-23T15:43:12+00:00,10.89,999.43,86.51
2025-12-23T15:43:27+00:00,10.88,999.44,86.63
2025-12-23T15:43:42+00:00,10.84,999.46,86.76
2025-12-23T15:43:57+00:00,10.82,999.47,86.96
2025-12-23T15:44:12+00:00,10.79,999.51,86.93
2025-12-23T15:44:27+00:00,10.78,999.50,87.13
2025-12-23T15:44:42+00:00,10.76,999.46,87.41
2025-12-23T15:44:57+00:00,10.75,999.41,87.59
2025-12-23T15:45:12+00:00,10.72,999.45,87.62
2025-12-23T15:45:27+00:00,10.71,999.46,87.71
2025-12-23T15:45:42+00:00,10.70,999.47,87.81
2025-12-23T15:45:57+00:00,10.69,999.43,88.02
2025-12-23T15:46:12+00:00,10.67,999.42,88.16
2025-12-23T15:46:27+00:00,10.66,999.41,88.24
2025-12-23T15:46:42+00:00,10.65,999.39,88.26
2025-12-23T15:46:57+00:00,10.64,999.45,88.25
2025-12-23T15:47:12+00:00,10.63,999.46,88.47
2025-12-23T15:47:27+00:00,10.62,999.42,88.42
2025-12-23T15:47:42+00:00,10.60,999.47,88.50
2025-12-23T15:47:57+00:00,10.60,999.42,88.47
2025-12-23T15:48:12+00:00,10.59,999.45,88.72
2025-12-23T15:48:27+00:00,10.59,999.40,88.69
2025-12-23T15:48:42+00:00,10.58,999.38,88.68
2025-12-23T15:48:57+00:00,10.57,999.39,88.69
2025-12-23T15:49:12+00:00,10.56,999.35,88.82
2025-12-23T15:49:27+00:00,10.56,999.38,88.87
2025-12-23T15:49:42+00:00,10.56,999.34,88.90
2025-12-23T15:49:57+00:00,10.55,999.42,89.00
2025-12-23T15:50:12+00:00,10.53,999.38,89.05
2025-12-23T15:50:27+00:00,10.53,999.38,89.01
2025-12-23T15:50:42+00:00,10.53,999.33,88.98
2025-12-23T15:50:57+00:00,10.53,999.41,89.07
2025-12-23T15:51:12+00:00,10.52,999.34,89.20
2025-12-23T15:51:27+00:00,10.52,999.39,89.21
2025-12-23T15:51:42+00:00,10.53,999.36,89.20
2025-12-23T15:51:57+00:00,10.52,999.39,89.38
2025-12-23T15:52:12+00:00,10.52,999.40,89.31
2025-12-23T15:52:27+00:00,10.52,999.40,89.27
2025-12-23T15:52:42+00:00,10.51,999.33,89.24
2025-12-23T15:52:57+00:00,10.52,999.31,89.21
